date,reservations
2/18/20,1%
2/19/20,11%
2/20/20,3%
2/21/20,0%
2/22/20,3%
2/23/20,13%
2/24/20,7%
2/25/20,1%
2/26/20,1%
2/27/20,-2%
2/28/20,1%
2/29/20,-2%
3/1/20,-2%
3/2/20,-6%
3/3/20,-12%
3/4/20,-12%
3/5/20,-9%
3/6/20,-15%
3/7/20,-10%
3/8/20,-4%
3/9/20,-18%
3/10/20,-30%
3/11/20,-36%
3/12/20,-52%
3/13/20,-61%
3/14/20,-64%
3/15/20,-69%
3/16/20,-77%
3/17/20,-100%
3/18/20,-100%
3/19/20,-100%
3/20/20,-100%
3/21/20,-100%
3/22/20,-100%
3/23/20,-100%
3/24/20,-100%
3/25/20,-100%
3/26/20,-100%
3/27/20,-100%
3/28/20,-100%
3/29/20,-100%
3/30/20,-100%
3/31/20,-100%
4/1/20,-100%
4/2/20,-100%
4/3/20,-100%
4/4/20,-100%
4/5/20,-100%
4/6/20,-100%
4/7/20,-100%
4/8/20,-100%
4/9/20,-100%
4/10/20,-100%
4/11/20,-100%
4/12/20,-100%
4/13/20,-100%
4/14/20,-100%
4/15/20,-100%
4/16/20,-100%
4/17/20,-100%
4/18/20,-100%
4/19/20,-100%
4/20/20,-100%
4/21/20,-100%
4/22/20,-100%
4/23/20,-100%
4/24/20,-100%
4/25/20,-100%
4/26/20,-100%
4/27/20,-100%
4/28/20,-100%
4/29/20,-100%
4/30/20,-100%
5/1/20,-100%
5/2/20,-100%
5/3/20,-100%
5/4/20,-100%
5/5/20,-100%
5/6/20,-100%
5/7/20,-100%
5/8/20,-100%
5/9/20,-100%
5/10/20,-100%
5/11/20,-99.98%
5/12/20,-100%
5/13/20,-100%
5/14/20,-99.98%
5/15/20,-99.96%
5/16/20,-99.96%
5/17/20,-99.96%
5/18/20,-99.19%
5/19/20,-99.36%
5/20/20,-98.63%
5/21/20,-99.12%
5/22/20,-99.51%
5/23/20,-99.50%
5/24/20,-99.72%
5/25/20,-99.66%
5/26/20,-99.25%
5/27/20,-98.69%
5/28/20,-98.78%
5/29/20,-99.27%
5/30/20,-99.22%
5/31/20,-99.52%
6/1/20,-99.31%
6/2/20,-99.32%
6/3/20,-99.33%
6/4/20,-99.30%
6/5/20,-99.62%
6/6/20,-99.49%
6/7/20,-99.43%
6/8/20,-99.77%
6/9/20,-99.45%
6/10/20,-99.15%
6/11/20,-99.17%
6/12/20,-99.62%
6/13/20,-99.59%
6/14/20,-99.58%
6/15/20,-99.65%
6/16/20,-99.67%
6/17/20,-99.59%
6/18/20,-99.24%
6/19/20,-99.72%
6/20/20,-99.63%
6/21/20,-99.77%
6/22/20,-97.45%
6/23/20,-96.53%
6/24/20,-95.96%
6/25/20,-94.93%
6/26/20,-93.73%
6/27/20,-94.84%
6/28/20,-94.59%
6/29/20,-95.19%
6/30/20,-94.42%
7/1/20,-94.28%
7/2/20,-89.52%
7/3/20,-93.94%
7/4/20,-92.18%
7/5/20,-92.60%
7/6/20,-96.22%
7/7/20,-94.24%
7/8/20,-95.07%
7/9/20,-91.97%
7/10/20,-98.40%
7/11/20,-91.95%
7/12/20,-89.23%
7/13/20,-93.34%
7/14/20,-92.10%
7/15/20,-91.84%
7/16/20,-90.70%
7/17/20,-90.15%
7/18/20,-87.83%
7/19/20,-89.73%
7/20/20,-93.60%
7/21/20,-92.03%
7/22/20,-95.68%
7/23/20,-93.64%
7/24/20,-90.55%
7/25/20,-86.35%
7/26/20,-89.14%
7/27/20,-92.77%
7/28/20,-92.02%
7/29/20,-90.65%
7/30/20,-91.22%
7/31/20,-88.58%
8/1/20,-85.06%
8/2/20,-88.23%
8/3/20,-91.35%
8/4/20,-96.99%
8/5/20,-88.56%
8/6/20,-88.47%
8/7/20,-89.76%
8/8/20,-81.50%
8/9/20,-83.78%
8/10/20,-89.24%
8/11/20,-88.75%
8/12/20,-90.81%
8/13/20,-90.40%
8/14/20,-83.94%
8/15/20,-80.40%
8/16/20,-89.39%
8/17/20,-86.85%
8/18/20,-84.33%
8/19/20,-86.91%
8/20/20,-83.27%
8/21/20,-78.57%
8/22/20,-77.82%
8/23/20,-80.32%
8/24/20,-86.12%
8/25/20,-85.83%
8/26/20,-81.42%
8/27/20,-88.66%
8/28/20,-80.23%
8/29/20,-82.03%
8/30/20,-79.02%
8/31/20,-83.20%
9/1/20,-79.85%
9/2/20,-84.06%
9/3/20,-86.22%
9/4/20,-79.23%
9/5/20,-80.23%
9/6/20,-73.57%
9/7/20,-75.90%
9/8/20,-87.02%
9/9/20,-84.82%
9/10/20,-90.23%
9/11/20,-78.59%
9/12/20,-75.55%
9/13/20,-78.72%
9/14/20,-84.14%
9/15/20,-83.94%
9/16/20,-81.51%
9/17/20,-80.83%
9/18/20,-79%
9/19/20,-76.86%
9/20/20,-77.95%
9/21/20,-85.31%
9/22/20,-83.07%
9/23/20,-79.42%
9/24/20,-79.60%
9/25/20,-75.97%
9/26/20,-73.62%
9/27/20,-74.46%
9/28/20,-81.38%
9/29/20,-89.07%
9/30/20,-77.91%
10/1/20,-74.81%
10/2/20,-73.29%
10/3/20,-68.97%
10/4/20,-72.44%
10/5/20,-79.62%
10/6/20,-76.87%
10/7/20,-76.22%
10/8/20,-77.69%
10/9/20,-72.37%
10/10/20,-68.51%
10/11/20,-76.26%
10/12/20,-88.62%
10/13/20,-84.51%
10/14/20,-73.98%
10/15/20,-73.19%
10/16/20,-82.30%
10/17/20,-66.80%
10/18/20,-68.88%
10/19/20,-81.20%
10/20/20,-78.49%
10/21/20,-78.15%
10/22/20,-78.38%
10/23/20,-72.25%
10/24/20,-66.73%
10/25/20,-71.36%
10/26/20,-84.97%
10/27/20,-80.64%
10/28/20,-79.16%
10/29/20,-81.97%
10/30/20,-80.02%
10/31/20,-76.59%
11/1/20,-81.73%
11/2/20,-86.51%
